State/Territory,Square Outside,Square Inside
Alabama,552x547,468x464
Arkansas,550x549,485x481
California,550x550,369x365
Connecticut,554x549,494x489
Delaware,546x551,528x535
Florida,550x551,429x429
Georgia,551x554,539x539
Illinois,551x552,441x440
Indiana,552x553,502x508
Iowa,552x553,396x396
Kansas,543x552,345x355
Kentucky,551x554,533x534
Louisiana,550x554,350x352
Maine,551x553,482x485
Maryland,552x555,510x510
Massachusetts,552x552,480x484
Michigan,545x551,396x398
Minnesota,553x550,312x318
Mississippi,552x552,499x502
Missouri,550x553,415x424
Nebraska,554x554,329x328
Nevada,550x555,261x262
New Hampshire,544x552,492x494
New Jersey,553x550,506x506
New York,552x550,451x450
North Carolina,551x550,532x532
Ohio,557x550,557x550
Oregon,551x546,431x428
Pennsylvania,542x550,511x526
Rhode Island,551x548,466x470
South Carolina,550x550,536x535
Tennessee,552x550,537x537
Texas,555x549,323x321
Vermont,553x549,553x549
Virginia,542x549,501x511
West Virginia,551x550,533x535
Wisconsin,551x548,416x418
District of Columbia,552x548,437x437
NW Territories,555x548,280x283
SW Territories,551x549,551x549
