Age,Some high school education,High School Graduate,Some college education,College Graduate (Bachelor's),College Graduate (Master's or Doctorate)
18 - 24,5199,8880,10747,4683,281
25 - 34,3722,11224,8019,15722,5075
35 - 44,4214,10088,6359,13452,5893
45 - 54,4516,12210,6745,13692,5404
55 - 64,4047,12674,7173,12244,4998
65+,6954,15807,7706,11326,5751
