"State","Total.Population","Occupation","Gender","Number","Total.Employed","Area.Name"
"District of Columbia",131700,"School","Female",9937,68982,"District of Columbia"
"Florida",187748,"School","Female",6342,73481,"Florida"
"Georgia",1184109,"School","Female",38799,522171,"Georgia"
"Idaho Territory",14999,"School","Female",222,11345,"Idaho"
"Illinois",2539891,"School","Female",262968,1290236,"Illinois"
"Indiana",1680637,"School","Female",187246,854598,"Indiana"
"Iowa",1194020,"School","Female",145736,650627,"Iowa"
"Kansas",364399,"School","Female",30339,186770,"Kansas"
"Kentucky",1321011,"School","Female",86460,595798,"Kentucky"
"Louisiana",726915,"School","Female",25250,307711,"Louisiana"
"Maine",626915,"School","Female",74391,363355,"Maine"
"Maryland",780894,"School","Female",49959,363978,"Maryland"
"Massachusetts",1457351,"School","Female",142662,867226,"Massachusetts"
"Michigan",1184059,"School","Female",126468,668008,"Michigan"
"Minnesota",439706,"School","Female",46568,229418,"Minnesota"
"Mississippi",827922,"School","Female",19234,357991,"Mississippi"
"Missouri",1721295,"School","Female",153991,829896,"Missouri"
"Montana Territory",20595,"School","Female",420,14967,"Montana"
"Nebraska",122993,"School","Female",8481,61785,"Nebraska"
"Nevada",42491,"School","Female",1435,29803,"Nevada"
"New Hampshire",318300,"School","Female",31446,185992,"New Hampshire"
"New Jersey",906096,"School","Female",76981,454121,"New Jersey"
"New Mexico Territory",91874,"School","Female",783,31241,"New Mexico"
"New York",4382759,"School","Female",413179,2337763,"New York"
"North Carolina",1071361,"School","Female",31439,416586,"North Carolina"
"Ohio",2665260,"School","Female",311160,1486513,"Ohio"
"Oregon",90923,"School","Female",8483,48728,"Oregon"
"Pennsylvania",3521951,"School","Female",351302,1745543,"Pennsylvania"
"Rhode Island",217353,"School","Female",16958,123484,"Rhode Island"
"South Carolina",705606,"School","Female",20495,304866,"South Carolina"
"Tennessee",1258520,"School","Female",57243,488692,"Tennessee"
"Texas",818579,"School","Female",31556,302325,"Texas"
"Utah Territory",86786,"School","Female",7003,36142,"Utah"
"Vermont",330551,"School","Female",33386,178962,"Vermont"
"Virginia",1225163,"School","Female",33952,483505,"Virginia"
"Washington Territory",23955,"School","Female",1654,13292,"Washington"
"West Virginia",442014,"School","Female",38281,197422,"West Virginia"
"Wisconsin",1054670,"School","Female",125407,553410,"Wisconsin"
"Wyoming Territory",9118,"School","Female",185,7009,"Wyoming"
