"Area.name","Total.Population","State","Territory","total","above10","above11","Total.Above10.Est","Total.Above11.Est","above10.Female","above10.Male","above11.Female","above11.Male","Total.Above10.Female","Total.Above10.Male","Total.Above11.Female","Total.Above11.Male","Employed.Female","Employed.Male","Unaccounted.Female.10","Unaccounted.Male.10","Occupation","Sex","Number"
"Alabama",996992,"Alabama",NA,15133,10761,10260,708955.984404943,675949.112535518,5502,5259,5272,4988,362482.652745655,346473.331659288,347329.797396418,328619.3151391,128157,314240,234325.652745655,32233.3316592876,"Agriculture","Male",226768
"Arizona",9658,"Arizona Territory",TRUE,92,72,69,7558.4347826087,7243.5,21,51,18,51,2204.54347826087,5353.89130434783,1889.60869565217,5353.89130434783,366,5813,1838.54347826087,0,"Agriculture","Male",1284
"Arkansas",484471,"Arkansas",NA,6219,4422,4186,344481.550410034,326096.736774401,2185,2237,2061,2125,170215.32963499,174266.220775044,160555.512301013,165541.224473388,45300,153221,124915.32963499,21045.2207750442,"Agriculture","Male",100669
"California",560247,"California",NA,5531,4304,4183,435961.505695173,423705.152956066,1459,2845,1405,2778,147785.278069065,288176.227626107,142315.500813596,281389.65214247,58041,271610,89744.2780690653,16566.2276261074,"Agriculture","Male",47580
"Colorado",39864,"Colorado Territory",TRUE,380,291,284,30527.4315789474,29793.0947368421,107,184,104,180,11224.8631578947,19302.5684210526,10910.1473684211,18882.9473684211,1664,18535,9560.86315789474,767.568421052631,"Agriculture","Male",6462
"Connecticut",537454,"Connecticut",NA,5406,4288,4156,426304.615612283,413181.432482427,2211,2077,2146,2010,219813.317425083,206491.298187199,213351.143914169,199830.288568257,82317,210736,137496.317425083,0,"Agriculture","Male",43523
"Dakota",14181,"Dakota Territory",TRUE,151,120,115,11269.6688741722,10800.0993377483,44,76,40,75,4132.2119205298,7137.45695364238,3756.55629139073,7043.54304635762,682,6333,3450.2119205298,804.456953642383,"Agriculture","Male",2522
"Delaware",125015,"Delaware",NA,1700,1260,1217,92658.1764705882,89496.0323529412,627,633,606,611,46108.4735294118,46549.7029411765,44564.1705882353,44931.8617647059,15447,44831,30661.4735294118,1718.70294117647,"Agriculture","Male",15907
"District of Columbia",131700,"District of Columbia",NA,1956,1493,1445,100525.613496933,97293.7116564417,793,700,766,679,53393.7116564417,47131.9018404908,51575.7668711657,45717.9447852761,23778,45204,29615.7116564417,1927.90184049079,"Agriculture","Male",1350
"Florida",187748,"Florida",NA,3042,2114,2008,130473.133464826,123930.96120973,1042,1072,989,1019,64310.7876397107,66162.3458251151,61039.701512163,62891.2596975674,16168,57313,48142.7876397107,8849.34582511506,"Agriculture","Male",36944
