Year,State,Area.name,Baptist,Christian,Congregational,Episcopal,Evangelical.Association,Friends,Jewish,Lutheran,Methodist,Mormon,New.Jerusalem,Presbyterian,Reformed.Late.Dutch,Reformed.Late.German,Roman.Catholic,Second.Adventist,Unitarian,United.Brethren.in.Christ,Universalist,Total
1870,Alabama,Alabama,190200,5750,650,15520,0,0,1650,0,218945,0,0,67615,0,0,6730,0,0,0,550,510810
1870,Arizona Territory,SW Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,2400
1870,Arkansas,Arkansas,103800,14600,0,3695,0,0,300,1025,91890,0,0,33600,0,0,5250,0,0,0,200,264225
1870,California,California,16775,6380,11915,13095,200,500,3610,5350,43035,550,400,21798,0,0,66640,300,1400,100,160,195558
1870,Colorado Territory,SW Territories,855,0,1050,2000,0,0,NA,0,3815,0,0,1200,0,0,8575,0,0,0,0,17495
1870,Connecticut,Connecticut,45150,750,133175,50962,0,350,1850,1240,63975,0,NA,3875,1300,250,26418,1380,225,0,6850,338735
1870,Dakota Territory,NW Territories,NA,0,200,350,0,0,0,900,500,0,0,0,0,0,850,0,0,0,0,2800
1870,Delaware,Delaware,2950,0,0,8975,0,3425,0,300,51924,0,300,13375,0,0,6000,0,300,0,350,87899
1870,District of Columbia,District of Columbia,8775,400,1800,6680,800,160,800,3700,20860,0,480,9250,0,300,9250,0,400,0,NA,63655
1870,Florida,Florida,21100,0,0,4600,0,0,0,0,42600,50,0,6620,0,0,3950,NA,0,0,0,78920
1870,Georgia,Georgia,389165,10285,2800,10080,0,0,1400,3000,327343,0,NA,49575,0,0,5500,0,0,0,900,801148
1870,Idaho Territory,NW Territories,175,0,0,600,0,0,0,0,0,800,0,NA,0,0,575,0,0,0,0,2150
1870,Illinois,Illinois,181454,85175,66137,30395,20176,1000,3950,74301,357073,688,1855,184849,4880,7170,136900,1300,5960,17995,15225,1201403
1870,Indiana,Indiana,152375,122775,4800,10300,10925,29500,1900,62285,346125,0,100,128960,500,8880,86830,0,NA,33975,6300,1008380
1870,Iowa,Iowa,50690,15750,33925,9584,2400,17075,150,12285,142655,200,0,64890,1500,3950,57280,2950,715,10445,4465,431709
1870,Kansas,Kansas,18540,4550,8350,3280,300,1600,300,1400,23525,NA,0,22810,0,275,14605,0,400,2200,NA,102135
1870,Kentucky,Kentucky,288936,141585,0,15800,3000,0,1500,1650,244918,0,0,100750,0,0,72550,0,700,0,400,878039
1870,Louisiana,Louisiana,56140,800,4650,17100,0,0,2200,1650,52990,0,NA,14100,0,800,62525,0,1000,0,0,213955
1870,Maine,Maine,117189,4922,83985,8975,0,0,7315,500,82530,NA,1200,0,0,0,17822,3175,9185,0,23910,376738
1870,Maryland,Maryland,20730,1850,NA,61480,1000,7440,2750,40915,231530,0,900,32415,600,19980,62280,0,800,12100,1000,499770
1870,Massachusetts,Massachusetts,139035,9675,269314,46245,0,7950,1500,450,117325,NA,3800,5700,0,950,130415,3400,98306,100,35627,882317
1870,Michigan,Michigan,74100,4625,38320,26750,2350,2600,1300,23150,140290,0,970,48925,8700,2800,62991,4840,1700,4225,5550,456226
1870,Minnesota,Minnesota,12435,1550,11400,14595,3875,0,0,23325,26890,0,200,16956,500,400,42370,150,0,500,1720,158266
1870,Mississippi,Mississippi,174970,7325,300,8650,0,0,0,2450,208203,0,0,71100,0,0,8250,0,0,0,400,485398
1870,Missouri,Missouri,145360,68545,12295,20950,1800,500,2100,39550,185420,NA,1000,103350,0,1900,97550,NA,3200,5800,900,691520
1870,Montana Territory,NW Territories,0,NA,0,700,0,0,0,0,1450,0,0,0,0,0,1700,0,0,0,0,3850
1870,Nebraska,Nebraska,5400,1550,2050,3500,600,0,0,2000,10150,200,0,3125,0,0,2935,0,700,NA,NA,32210
1870,Nevada,Nevada,0,0,0,1100,0,0,0,0,2550,NA,0,1100,0,0,3250,0,0,0,0,8000
1870,New Hampshire,New Hampshire,51925,4600,67951,7475,0,3585,0,0,36351,0,275,3170,0,0,8945,4405,7830,0,8812,210090
1870,New Jersey,New Jersey,63113,3430,5050,34800,0,28750,300,6750,196860,0,NA,128200,54800,1800,45400,0,400,0,1100,573303
